,code,day,night,icon,day_weather,night_weather
0,1000,sunny,clear,113,sunny,clear
1,1003,partly cloudy,partly cloudy,116,cloudy,cloudy
2,1006,cloudy,cloudy,119,cloudy,cloudy
3,1009,overcast,overcast,122,sunny overcast,cloudy
4,1030,mist,mist,143,fog,fog
5,1063,patchy rain possible,patchy rain possible,176,sprinkle,sprinkle
6,1066,patchy snow possible,patchy snow possible,179,cloudy,cloudy
7,1069,patchy sleet possible,patchy sleet possible,182,cloudy,cloudy
8,1072,patchy freezing drizzle possible,patchy freezing drizzle possible,185,cloudy,cloudy
9,1087,thundery outbreaks possible,thundery outbreaks possible,200,cloudy,cloudy
10,1114,blowing snow,blowing snow,227,snow wind,alt snow wind
11,1117,blizzard,blizzard,230,snow,snow
12,1135,fog,fog,248,fog,fog
13,1147,freezing fog,freezing fog,260,fog,fog
14,1150,patchy light drizzle,patchy light drizzle,263,sprinkle,sprinkle
15,1153,light drizzle,light drizzle,266,sprinkle,sprinkle
16,1168,freezing drizzle,freezing drizzle,281,rain mix,alt sleet
17,1171,heavy freezing drizzle,heavy freezing drizzle,284,sleet,alt sleet
18,1180,patchy light rain,patchy light rain,293,sprinkle,sprinkle
19,1183,light rain,light rain,296,sprinkle,sprinkle
20,1186,moderate rain at times,moderate rain at times,299,rain,rain
21,1189,moderate rain,moderate rain,302,rain,rain
22,1192,heavy rain at times,heavy rain at times,305,rain,rain
23,1195,heavy rain,heavy rain,308,rain,rain
24,1198,light freezing rain,light freezing rain,311,sleet,sleet
25,1201,moderate or heavy freezing rain,moderate or heavy freezing rain,314,sleet,sleet
26,1204,light sleet,light sleet,317,sleet,sleet
27,1207,moderate or heavy sleet,moderate or heavy sleet,320,sleet,sleet
28,1210,patchy light snow,patchy light snow,323,snow,snow
29,1213,light snow,light snow,326,snow,snow
30,1216,patchy moderate snow,patchy moderate snow,329,snow,snow
31,1219,moderate snow,moderate snow,332,snow,snow
32,1222,patchy heavy snow,patchy heavy snow,335,snow,snow
33,1225,heavy snow,heavy snow,338,snow,snow
34,1237,ice pellets,ice pellets,350,hail,hail
35,1240,light rain shower,light rain shower,353,sprinkle,sprinkle
36,1243,moderate or heavy rain shower,moderate or heavy rain shower,356,rain,rain
37,1246,torrential rain shower,torrential rain shower,359,storm showers,storm showers
38,1249,light sleet showers,light sleet showers,362,sleet,sleet
39,1252,moderate or heavy sleet showers,moderate or heavy sleet showers,365,sleet,sleet
40,1255,light snow showers,light snow showers,368,snow,snow
41,1258,moderate or heavy snow showers,moderate or heavy snow showers,371,snow,snow
42,1261,light showers of ice pellets,light showers of ice pellets,374,hail,hail
43,1264,moderate or heavy showers of ice pellets,moderate or heavy showers of ice pellets,377,hail,hail
44,1273,patchy light rain with thunder,patchy light rain with thunder,386,thunderstorm,thunderstorm
45,1276,moderate or heavy rain with thunder,moderate or heavy rain with thunder,389,thunderstorm,thunderstorm
46,1279,patchy light snow with thunder,patchy light snow with thunder,392,thunderstorm,thunderstorm
47,1282,moderate or heavy snow with thunder,moderate or heavy snow with thunder,395,cloudy,thunderstorm
