,dateutc,tempf,humidity,windspeedmph,windgustmph,maxdailygust,winddir,uv,solarradiation,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,battout,tempinf,humidityin,baromrelin,baromabsin,feelsLike,dewPoint,feelsLikein,dewPointin,lastRain,tz,date
0,1751059080000,97.2,44,3.58,5.82,10.29,108,5,607.39,0,0,0,0,4.457,71.449,1,81.1,50,29.639,28.836,106.01,71.59,81.8,60.7,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:18:00.000Z
1,1751059140000,97.3,45,3.36,5.82,10.29,216,5,592.96,0,0,0,0,4.457,71.449,1,81.1,49,29.636,28.833,106.97,72.35,81.7,60.1,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:19:00.000Z
2,1751059200000,97.2,46,1.34,2.24,10.29,198,5,594.63,0,0,0,0,4.457,71.449,1,81.1,49,29.639,28.836,107.49,72.91,81.7,60.1,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:20:00.000Z
3,1751059260000,97.2,45,1.34,3.36,10.29,138,5,583.49,0,0,0,0,4.457,71.449,1,81.0,49,29.636,28.833,106.74,72.26,81.6,60.0,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:21:00.000Z
4,1751059320000,97.0,45,2.46,3.36,10.29,230,5,592.52,0,0,0,0,4.457,71.449,1,81.0,49,29.636,28.833,106.28,72.08,81.6,60.0,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:22:00.000Z
5,1751059380000,96.8,46,1.34,2.24,10.29,224,5,591.14,0,0,0,0,4.457,71.449,1,80.8,49,29.633,28.83,106.55,72.55,81.4,59.8,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:23:00.000Z
6,1751059440000,96.8,45,2.46,3.36,10.29,232,5,592.7,0,0,0,0,4.457,71.449,1,80.6,49,29.639,28.836,105.83,71.9,81.2,59.6,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:24:00.000Z
7,1751059500000,97.3,45,3.36,3.36,10.29,14,5,593.46,0,0,0,0,4.457,71.449,1,80.6,49,29.633,28.83,106.97,72.35,81.2,59.6,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:25:00.000Z
8,1751059620000,97.3,45,0.67,1.12,10.29,272,5,593.4,0,0,0,0,4.457,71.449,1,80.6,49,29.63,28.827,106.97,72.35,81.2,59.6,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:27:00.000Z
9,1751059680000,97.2,46,0.45,1.12,10.29,197,5,606.64,0,0,0,0,4.457,71.449,1,80.8,49,29.636,28.833,107.49,72.91,81.4,59.8,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:28:00.000Z
10,1751059740000,97.2,45,2.46,4.47,10.29,233,5,606.84,0,0,0,0,4.457,71.449,1,80.8,49,29.636,28.833,106.74,72.26,81.4,59.8,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:29:00.000Z
11,1751059800000,97.2,45,4.25,5.82,10.29,341,2,277.15,0,0,0,0,4.457,71.449,1,80.8,49,29.636,28.833,106.74,72.26,81.4,59.8,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:30:00.000Z
12,1751059860000,97.2,46,0.89,2.24,10.29,230,5,521.4,0,0,0,0,4.457,71.449,1,80.8,49,29.639,28.836,107.49,72.91,81.4,59.8,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:31:00.000Z
13,1751059920000,96.4,46,2.91,4.47,10.29,11,5,614.09,0,0,0,0,4.457,71.449,1,81.0,49,29.633,28.83,105.63,72.19,81.6,60.0,2025-06-15T19:00:00.000Z,America/Chicago,2025-06-27T21:32:00.000Z
